		Height						Weight						FOC					
		Male			Female			Male			Female			Male			Female		
Minimum age (CDC)	Rounded age	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S
57.5	58	1.220004233	107.534968	0.042276619	0.005853853	106.2028921	0.044058171	-0.986006518	17.92809121	0.127390453	-1.264864846	17.47052444	0.139058192	1	50.6587	0.0294	1	49.8341	0.02854
58.5	59	1.239715856	108.0829695	0.042383129	-0.016133871	106.7860583	0.04413344	-0.99086694	18.11315625	0.128224294	-1.272926011	17.65360733	0.139779387	1	50.6984	0.02943	1	49.8789	0.02852
59.5	60	1.255121285	108.6296457	0.042488804	-0.037351181	107.3706841	0.044206218	-0.995644402	18.29912286	0.129054277	-1.28054514	17.83781722	0.140489635	1	50.7375	0.02946	1	49.9229	0.0285
60.5	61	1.266367398	109.1751441	0.042593311	-0.057729947	107.9566031	0.044276588	-1.000453886	18.48592413	0.129879257	-1.287691525	18.02313904	0.141190842	1	50.7375	0.02946	1	49.9229	0.0285
61.5	62	1.273606657	109.7195954	0.042696342	-0.077206672	108.5436278	0.044344632	-1.005399668	18.67349965	0.130698212	-1.294332076	18.20956418	0.141884974	1	50.7375	0.02946	1	49.9229	0.0285
62.5	63	1.276996893	110.2631136	0.042797615	-0.09572283	109.1315521	0.044410436	-1.010575003	18.86179576	0.131510245	-1.300441561	18.3970876	0.142573939	1	50.7375	0.02946	1	49.9229	0.0285
63.5	64	1.276701119	110.8057967	0.042896877	-0.113225128	109.7201531	0.044474084	-1.016061941	19.05076579	0.132314586	-1.305989011	18.58571243	0.143259709	1	50.7375	0.02946	1	49.9229	0.0285
64.5	65	1.272887366	111.3477265	0.042993904	-0.129665689	110.3091934	0.044535662	-1.021931241	19.24037019	0.133110593	-1.310946941	18.77544728	0.143944216	1	50.7375	0.02946	1	49.9229	0.0285
65.5	66	1.265728536	111.8889694	0.043088503	-0.145002179	110.8984228	0.044595254	-1.028242376	19.43057662	0.133897752	-1.315289534	18.966307	0.144629359	1	50.7375	0.02946	1	49.9229	0.0285
66.5	67	1.255402281	112.4295761	0.043180513	-0.159197885	111.4875806	0.044652942	-1.035043608	19.62136007	0.134675673	-1.318992925	19.15831267	0.14531699	1	50.7375	0.02946	1	49.9229	0.0285
